display_time	device_type	角度X(°)	角度Y(°)	角度Z(°)	加速度X(g)	加速度Y(g)	加速度Z(g)	accel_magnitude(g)	timestamp_unix_aligned	time_offset_seconds
05:23:25.383	WT4	-28.05	18.72	-84.28	-0.304	-0.447	0.856	1.0124035756554794	1772774605.3830001	-28800.0
05:23:25.398	WT3	10.78	12.78	-110.03	-0.225	0.172	0.96	1.000904091309452	1772774605.3980002	-28800.0
05:23:25.420	WT1	-42.34	67.87	-107.86	-0.973	0.121	0.135	0.9897449166325635	1772774605.42	-28800.0
05:23:25.473	WT2	59.63	23.28	-47.39	-0.395	0.779	0.489	1.0009930069685802	1772774605.473	-28800.0
05:23:25.500	WT4	-28.28	18.21	-84.23	-0.3	-0.465	0.858	1.0209745344522556	1772774605.501	-28800.0
05:23:25.539	WT1	-50.12	68.98	-116.36	-0.969	0.127	0.117	0.9842657161559575	1772774605.539	-28800.0
05:23:25.539	WT2	63.44	22.65	-44.79	-0.367	0.83	0.401	0.9921643009098845	1772774605.54	-28800.0
05:23:25.568	WT3	9.99	12.47	-110.5	-0.21	0.149	0.968	1.0016611203396086	1772774605.568	-28800.0
05:23:25.568	WT2	58.73	23.06	-48.06	-0.408	0.769	0.494	1.0009300674872346	1772774605.568	-28800.0
05:23:25.569	WT4	-28.48	17.58	-84.14	-0.31	-0.469	0.844	1.014099107582686	1772774605.569	-28800.0
05:23:25.603	WT1	-58.69	69.88	-124.71	-1.029	0.113	0.09	1.0390909488586646	1772774605.6030002	-28800.0
05:23:25.615	WT3	9.29	12.27	-110.91	-0.214	0.138	0.969	1.0018986974739512	1772774605.615	-28800.0
05:23:25.668	WT2	57.86	22.88	-48.7	-0.413	0.771	0.512	1.0134860630516829	1772774605.669	-28800.0
05:23:25.681	WT4	-28.68	17.05	-84.22	-0.289	-0.478	0.833	1.0029426703456186	1772774605.682	-28800.0
05:23:25.726	WT1	-61.68	70.76	-127.46	-1.002	0.063	0.147	1.0146832017925593	1772774605.727	-28800.0
05:23:25.730	WT3	8.73	11.98	-111.35	-0.19	0.12	0.983	1.0083595588876024	1772774605.731	-28800.0
05:23:25.774	WT4	-28.81	16.58	-84.21	-0.271	-0.483	0.863	1.0254262528334253	1772774605.7740002	-28800.0
05:23:25.774	WT2	57.45	22.72	-49.25	-0.399	0.776	0.507	1.0091709468667833	1772774605.7740002	-28800.0
05:23:25.812	WT1	-69.27	71.98	-134.31	-1.022	0.057	0.093	1.0278044561102078	1772774605.813	-28800.0
05:23:25.822	WT3	8.39	11.57	-111.74	-0.196	0.118	0.975	1.0014814027229861	1772774605.823	-28800.0
05:23:25.831	WT2	57.04	22.38	-49.9	-0.388	0.777	0.52	1.012261329894608	1772774605.831	-28800.0
05:23:25.889	WT4	-27.89	19.49	-83.9	-0.36	-0.467	0.832	1.0197612465670578	1772774605.8899999	-28800.0
05:23:25.921	WT4	-28.92	16.25	-84.29	-0.272	-0.478	0.861	1.0216599238494188	1772774605.922	-28800.0
05:23:25.936	WT1	-76.65	72.88	-141.49	-1.013	0.044	0.1	1.0188743789103738	1772774605.936	-28800.0
05:23:25.939	WT3	8.07	11.05	-112.13	-0.188	0.116	0.985	1.0094676815034744	1772774605.9390001	-28800.0
05:23:25.967	WT2	56.68	21.86	-50.34	-0.39	0.785	0.537	1.0279562247488947	1772774605.968	-28800.0
