时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-26 15:16:23.92	WT3(F3:2A:15:68:55:37)	-0.218	0.044	0.988	1.648	-4.456	0.366	3.36	11.78	-23.38	-31.100	37.080	9.900	null	null	null	null	null	null	0.97211	0.04825	0.10043	-0.20621	22.4	10080.1.21	100
2026-2-26 15:16:23.92	WT2(CA:F4:44:5B:2A:5C)	-0.437	0.755	0.520	-2.747	-2.625	2.319	53.68	22.81	-93.17	-8.200	-11.900	-30.213	null	null	null	null	null	null	0.53531	0.43381	-0.19434	-0.69812	22.1	10080.1.21	100
2026-2-26 15:16:23.93	WT1(D0:8E:86:5B:BD:44)	-0.097	0.999	-0.023	-1.831	-3.479	7.690	0.76	-6.56	-147.87	-11.500	-18.600	13.940	null	null	null	null	null	null	0.16626	0.23154	-0.67261	-0.68283	21.1	10080.1.21	100
2026-2-26 15:16:23.129	WT4(FA:E0:7F:9A:F3:3E)	0.735	-0.165	0.644	-0.366	-1.587	0.610	-10.46	-48.61	106.96	-31.100	17.000	-48.780	null	null	null	null	null	null	0.57025	0.28027	-0.31052	0.70691	23.1	10080.1.21	100
2026-2-26 15:16:23.163	WT3(F3:2A:15:68:55:37)	-0.219	0.042	0.972	2.625	0.061	0.000	3.52	11.69	-23.36	-31.100	37.080	9.900	null	null	null	null	null	null	0.97299	0.05109	0.09332	-0.20456	22.4	10080.1.21	100
2026-2-26 15:16:23.190	WT2(CA:F4:44:5B:2A:5C)	-0.434	0.734	0.513	1.099	0.122	0.977	53.65	22.81	-93.09	-7.900	-11.500	-28.833	null	null	null	null	null	null	0.53531	0.43381	-0.19434	-0.69812	22.1	10080.1.21	100
2026-2-26 15:16:23.222	WT4(FA:E0:7F:9A:F3:3E)	0.760	-0.157	0.640	-0.061	-4.578	0.061	-10.67	-48.71	107.05	-30.500	19.600	-49.533	null	null	null	null	null	null	0.57025	0.28027	-0.31052	0.70691	23.1	10080.1.21	100
2026-2-26 15:16:23.238	WT1(D0:8E:86:5B:BD:44)	-0.087	0.988	-0.028	2.136	-2.563	1.099	0.80	-6.67	-147.98	-11.500	-18.600	13.940	null	null	null	null	null	null	0.16711	0.22116	-0.67722	-0.68149	21.1	10080.1.21	100
2026-2-26 15:16:23.292	WT1(D0:8E:86:5B:BD:44)	-0.075	0.969	-0.005	0.183	-1.648	0.854	0.90	-6.51	-148.15	-11.500	-18.600	13.940	null	null	null	null	null	null	0.16711	0.22116	-0.67722	-0.68149	21.1	10080.1.21	100
2026-2-26 15:16:23.293	WT3(F3:2A:15:68:55:37)	-0.207	0.048	0.978	1.953	-0.244	0.183	3.71	11.82	-23.33	-31.100	37.080	9.900	null	null	null	null	null	null	0.97299	0.05109	0.09332	-0.20456	22.4	10080.1.21	100
